customer_id,first_name,last_name,email,phone,city,state,created_at
58748e6f-c99e-4a2a-8f53-00f8a17ed561,Amber,White,lcalderon@example.com,+1-622-745-1451x610,Emilystad,OR,2025-10-22 00:58:35
2b875069-b43b-435c-8632-e3a37a5e253f,Carlos,Mitchell,stephenosborne@example.org,636-768-5764,Wongstad,KY,2025-06-08 22:35:15
6c624126-cc87-4c08-9fe9-0aec688bd4e7,Gregory,Ewing,jgonzalez@example.net,726-226-6441x76733,North Kelsey,KY,2025-02-16 19:12:47
33fe72f1-fa7d-40af-b2f8-a4ff3faf351d,Tamara,King,jamesmurphy@example.net,650-552-0762x774,South Felicia,SC,2025-12-09 15:26:55
3cf74d3a-2893-41a1-b0c9-5f4123ca705d,Jacqueline,Floyd,mreyes@example.net,+1-966-765-5151,Kristenfurt,MA,2025-11-03 11:46:11
31b37ab7-cd6e-4f1d-888a-8285a1a19d71,Tamara,Hart,whiteedward@example.com,837.335.5310,New Shannonport,PR,2025-07-07 17:19:32
9f8e4553-c838-4cfe-9f73-ce32d9dba1e5,Lisa,Watson,hillkaren@example.org,+1-748-747-9492x008,Medinahaven,AL,2025-05-29 04:33:44
a4e71d72-eb78-4d2f-af05-e15e456b0602,Lisa,Ortiz,burnsjacqueline@example.net,324.715.1909x5573,Lake Lindseymouth,IA,2025-06-25 15:07:43
bfde1c06-c0f1-4e2b-8080-3b4ef8030f33,David,Pacheco,jonathanshort@example.net,+1-233-205-7734x527,Lake Laurentown,IL,2024-07-05 00:05:57
6c7db293-5ecb-40b2-9f1b-68b6db8101c2,Amy,Myers,amartin@example.com,790-857-6908,South Carolinechester,GU,2024-12-02 20:39:09
ef1aa57c-5fc0-42f2-aafa-5fb465adabef,Jennifer,Williams,laura05@example.com,001-946-665-5808x07143,Frenchview,DE,2024-06-26 13:26:22
b806713e-37ee-42ee-906d-d2723c89563a,Jessica,Lambert,taylor18@example.org,(747)850-3564x3333,Ericachester,CT,2024-05-04 04:00:29
5024e0f4-3ab8-41d5-8eda-304871e40fcc,Frank,Davis,shortcaitlyn@example.org,377-448-6878,Jonesville,ME,2025-10-09 23:25:45
ae48823c-8922-45d7-850d-8d9189c9581b,Deborah,Hanson,samantha27@example.net,+1-651-456-2654x0354,North Lindseyfort,SC,2026-01-05 11:50:53
ff315781-9e74-477b-b33d-3c6a928596ac,Ronald,Fletcher,john80@example.net,(811)368-7533,Ericberg,WV,2025-10-30 08:46:18
50c37fea-54c0-47ce-876d-cf1a32258977,Jodi,Ball,kari85@example.net,651.649.3432,South Barryburgh,KY,2026-01-23 15:08:07
5dac3d55-2e01-43f0-9482-bc0f8a3c7584,Amy,Robertson,jill43@example.net,(983)510-1546,West Julie,NC,2024-12-02 04:20:15
7b22349d-20c6-4230-bec0-bfde029a6bc7,Karen,Murray,stephaniemcdaniel@example.org,(352)674-5199x1339,Lake Anthonyborough,ME,2025-07-16 07:44:30
f7b00b4d-1ccb-473d-adb4-523a1a1d19fa,Jared,Edwards,olopez@example.com,299-968-0254,Edwardsburgh,CT,2025-04-20 22:04:53
8f66b669-2055-4de0-8eda-f15e8d034d93,Brandon,Jones,lisa79@example.org,983.569.3390x21526,South James,NY,2025-04-25 02:56:04
